date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:07	93336/93336	---M-Z	200	added ('OK')	text/html	etag:%223fc26fd-16c98-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/index.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/index.html	(from )
16:29:08	114/114	---M--	200	added ('OK')	text/plain	etag:%223dc31ed-72-5705163c56d94%22	https://thememakker.com/robots.txt		(from )
16:29:08	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%223fc26f4-47e-5620c37bfce80%22	https://thememakker.com/templates/oreo/hospital/html/light/favicon.ico	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/favicon.ico	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:09	6165/6165	---M--	200	added ('OK')	text/css	etag:%223fe34e5-1815-5612fdb877c80%22	https://thememakker.com/templates/oreo/hospital/html/plugins/jvectormap/jquery-jvectormap-2.0.3.min.css	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/plugins/jvectormap/jquery-jvectormap-2.0.3.min.css	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:09	436/436	---M--	200	added ('OK')	text/css	etag:%2240814b4-1b4-5612fd7f3f580%22	https://thememakker.com/templates/oreo/hospital/html/plugins/morrisjs/morris.min.css	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/plugins/morrisjs/morris.min.css	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:11	7483/7483	---M--	200	added ('OK')	text/css	etag:%223fc261a-1d3b-571ae4545be00%22	https://thememakker.com/templates/oreo/hospital/html/light/assets/css/color_skins.css	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/assets/css/color_skins.css	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:11	153045/153045	---M--	200	added ('OK')	text/css	etag:%223fc2726-255d5-56f31533adb00%22	https://thememakker.com/templates/oreo/hospital/html/plugins/bootstrap/css/bootstrap.min.css	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/plugins/bootstrap/css/bootstrap.min.css	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:12	64137/64137	---M-Z	200	added ('OK')	text/html	etag:%223fc26f3-fa89-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/events.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/events.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:12	78907/78907	---M-Z	200	added ('OK')	text/html	etag:%223fc2703-1343b-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/mail-inbox.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/mail-inbox.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:12	84212/84212	---M-Z	200	added ('OK')	text/html	etag:%223fc26ee-148f4-571ae40440100-gzip%22	https://thememakker.com/templates/oreo/hospital/html/light/contact.html	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/contact.html	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:13	4290/4290	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f3-10c2-563a351845780%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar2.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar2.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:13	3239/3239	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f4-ca7-561cfe48b1d00%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar3.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar3.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:13	351932/351932	---M--	200	added ('OK')	text/css	etag:%223fc261d-55ebc-571ae4545be00%22	https://thememakker.com/templates/oreo/hospital/html/light/assets/css/main.css	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/light/assets/css/main.css	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:13	3670/3670	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f5-e56-561cfe8b73a80%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar4.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar4.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:14	3761/3761	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f6-eb1-561d00239fd80%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar5.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar5.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
16:29:14	3883/3883	---M--	200	added ('OK')	image/jpeg	etag:%223fc25f7-f2b-561cff9492c00%22	https://thememakker.com/templates/oreo/hospital/html/images/xs/avatar6.jpg	C:/Mes%20Sites%20Web/cccc/thememakker.com/templates/oreo/hospital/html/images/xs/avatar6.jpg	(from https://thememakker.com/templates/oreo/hospital/html/light/index.html)
